Aria (RU),Careless Angel,STANDARD
Aria (RU),Rose Street,UNKNOWN
Aria (RU),Splinter of Ice,STANDARD
Armageddon,Funeral In Space,UNKNOWN
Armageddon,The Juggernaut Divine,STANDARD
Arsebreed,Bloody Posttraumatic Ejaculation,ONE STEP DOWN
Arsebreed,Stabbed In The Arse,ONE STEP DOWN
Arsis,The Face of My Innocence,UNKNOWN
Artillery,By Inheritance,UNKNOWN
As I Lay Dying,94 Hours,TWO STEPS DOWN
As I Lay Dying,Behind Me Lies Another Fallen Soldier,STANDARD
As I Lay Dying,Collision,ONE STEP DOWN
As I Lay Dying,Collision,TWO STEPS DOWN
As I Lay Dying,Confined,DROP C
As I Lay Dying,Confined,TWO STEPS DOWN
As I Lay Dying,Elegy,ONE STEP DOWN
As I Lay Dying,Elegy,STANDARD
As I Lay Dying,Elegy,UNKNOWN
As I Lay Dying,Falling Upon Deaf Ears,UNKNOWN
As I Lay Dying,Forever,STANDARD
As I Lay Dying,Forever,TWO STEPS DOWN
As I Lay Dying,Meaning in Tragedy,UNKNOWN
As I Lay Dying,Reflection,ONE STEP DOWN
As I Lay Dying,Reflection,TWO STEPS DOWN
As I Lay Dying,Reflection,UNKNOWN
As I Lay Dying,Repeating Yesterday,STANDARD
As I Lay Dying,Song 10,ONE STEP DOWN
As I Lay Dying,The Beginning,ONE STEP DOWN
As I Lay Dying,The Beginning,TWO STEPS DOWN
As I Lay Dying,The Darkest Nights,ONE STEP DOWN
As I Lay Dying,The Voices That Betray Me,TWO STEPS DOWN
As I Lay Dying,Through Struggle,DROP C
As I Lay Dying,Through Struggle,TWO STEPS DOWN
As I Lay Dying,Through Struggle,UNKNOWN
Asmegin,Efterbyrden,STANDARD
Asphyx,Asphyx (Forgotten War),DROP D
Asphyx,Back Into Eternity,ONE STEP DOWN
Asphyx,Depths Of Eternity,ONE STEP DOWN
Asphyx,Food For The Ignorent,UNKNOWN
Asphyx,'Til Death Do Us Apart,ONE AND HALF STEP DOWN
Asphyx,Valleys In Oblivion,ONE STEP DOWN
Atheist,Air,STANDARD
Atheist,Mother Man,STANDARD
Atheist,Piece Of Time,STANDARD
Atheist,Your Life's Retribution,UNKNOWN
Atomizer,One Man's Failure,STANDARD
Atrocity,Down below,UNKNOWN
Atrophia Red Sun,Nameless Rot,TWO STEPS DOWN
Atrophia Red Sun,Structure Of Emptiness,TWO STEPS DOWN
At The Gates,All Life Ends,TWO AND HALF STEPS DOWN
At The Gates,And The World Returned,STANDARD
At The Gates,Blinded By Fear,TWO AND HALF STEPS DOWN
At The Gates,Cold,TWO AND HALF STEPS DOWN
At The Gates,Cold,UNKNOWN
At The Gates,Forever Blind,TWO AND HALF STEPS DOWN
At The Gates,Into The Dead Sky,STANDARD
At The Gates,Kingdom Gone,UNKNOWN
At The Gates,Nausea,TWO AND HALF STEPS DOWN
At The Gates,Need,ONE STEP DOWN
At The Gates,Primal Breath,ONE STEP DOWN
At The Gates,Raped by the Light of Christ,STANDARD
At The Gates,Slaughter of the Soul,TWO AND HALF STEPS DOWN
At The Gates,Suicide Nation,TWO AND HALF STEPS DOWN
At The Gates,Terminal Spirit Disease,TWO AND HALF STEPS DOWN
At The Gates,The Flames of the End,TWO AND HALF STEPS DOWN
At The Gates,The Red in the Sky Is Ours / The Season to Some,UNKNOWN
At The Gates,The Scar,TWO AND HALF STEPS DOWN
At The Gates,The Swarm,TWO AND HALF STEPS DOWN
At The Gates,Under A Serpent Sun,TWO AND HALF STEPS DOWN
At The Gates,Unto Others,TWO AND HALF STEPS DOWN
At The Gates,Within,TWO AND HALF STEPS DOWN
At The Gates,World of Lies,ONE STEP DOWN
Attitude Adjustment,Johnny,STANDARD
Aura Noir,Destructor,UNKNOWN
Aurora Borealis,Images in the Nightsky,STANDARD
Autopsy,Charred Remains,STANDARD
Autopsy,Charred Remains,UNKNOWN
Autopsy,Squeal Like A Pig,ONE AND HALF STEP DOWN
Autumn Leaves,Forever The Destiny,ONE STEP DOWN
Avantasia,Anywhere,UNKNOWN
Avantasia,Neverland,STANDARD
Avenger (GB),Enforcer,STANDARD
Avulsed,Amidst The Macabre (instrumental),UNKNOWN
Avulsed,Blessed By Gore,TWO STEPS DOWN
Avulsed,Bodily Ransack,TWO STEPS DOWN
Avulsed,Cadaver Decapitado,TWO STEPS DOWN
Avulsed,Decrepit Sigh,TWO STEPS DOWN
Avulsed,Eminence In Putrescence,TWO STEPS DOWN
Avulsed,Exorcismo Vaginal,TWO STEPS DOWN
Avulsed,Filth Injected,TWO AND HALF STEPS DOWN
Avulsed,Foetivorous Marriage,TWO STEPS DOWN
Avulsed,Infernal Haemorrhoids,TWO AND HALF STEPS DOWN
Avulsed,Nice Rotting Eyes,ONE AND HALF STEP DOWN
Avulsed,Sick Sick Sex,TWO STEPS DOWN
Avulsed,Sweet Lobotomy,TWO STEPS DOWN
Avulsed,Virtual Massacre,TWO AND HALF STEPS DOWN
Axis of Advance,Cube of Odium,TWO AND HALF STEPS DOWN
